step	time[s]	voltage[V]	SoC[%]
5	5	4.0136014	90.019773
10	10	3.9956874	89.899703
15	15	3.9830056	89.779557
20	20	3.9735125	89.659351
25	25	3.9661159	89.539094
30	30	3.9601979	89.418794
35	35	3.9553816	89.298456
40	40	3.9514193	89.178086
45	45	3.948137	89.057688
50	50	3.9454051	88.937267
55	55	3.9431225	88.816825
60	60	3.9412074	88.696364
65	65	3.9395919	88.575888
70	70	3.9382188	88.455397
75	75	3.9370399	88.334893
80	80	3.9360151	88.214378
85	85	3.9351115	88.093853
90	90	3.9343026	87.973318
95	95	3.9335673	87.852774
100	100	3.9328884	87.732222
105	105	3.9322523	87.611662
110	110	3.9316477	87.491095
115	115	3.9310651	87.370521
120	120	3.9304966	87.249941
125	125	3.9299351	87.129354
130	130	3.9293747	87.008762
135	135	3.9288098	86.888163
140	140	3.9282357	86.767559
145	145	3.9276479	86.64695
150	150	3.9270425	86.526336
155	155	3.926416	86.405716
160	160	3.9257652	86.285092
165	165	3.9250874	86.164463
170	170	3.9243801	86.043829
175	175	3.9236413	85.923191
180	180	3.9228695	85.802548
185	185	3.9220634	85.681901
190	190	3.9212221	85.561251
195	195	3.9203451	85.440596
200	200	3.9194321	85.319937
205	205	3.9184832	85.199274
210	210	3.9174988	85.078608
215	215	3.9164795	84.957939
220	220	3.9154259	84.837266
225	225	3.9143389	84.716589
230	230	3.9132198	84.595909
235	235	3.9120696	84.475227
240	240	3.9108895	84.354541
245	245	3.9096809	84.233852
250	250	3.9084452	84.11316
255	255	3.9071837	83.992466
260	260	3.905898	83.871768
265	265	3.9045893	83.751069
270	270	3.9032593	83.630366
275	275	3.9019092	83.509662
280	280	3.9005404	83.388955
285	285	3.8991545	83.268245
290	290	3.8977527	83.147534
295	295	3.8963363	83.02682
300	300	3.8949067	82.906105
305	305	3.8934652	82.785387
310	310	3.8920128	82.664668
315	315	3.8905509	82.543946
320	320	3.8890805	82.423224
325	325	3.8876028	82.302499
330	330	3.8861188	82.181773
335	335	3.8846294	82.061045
340	340	3.8831358	81.940316
345	345	3.8816387	81.819585
350	350	3.8801392	81.698854
355	355	3.8786379	81.578121
360	360	3.8771358	81.457387
365	365	3.8756335	81.336652
370	370	3.8741318	81.215916
375	375	3.8726314	81.095179
380	380	3.8711329	80.974441
385	385	3.8696369	80.853702
390	390	3.8681439	80.732963
395	395	3.8666546	80.612224
400	400	3.8651693	80.491484
405	405	3.8636887	80.370743
410	410	3.862213	80.250003
415	415	3.8607427	80.129262
420	420	3.8592782	80.008521
425	425	3.8578197	79.88778
430	430	3.8563678	79.76704
435	435	3.8549225	79.6463
440	440	3.8534842	79.52556
445	445	3.8520532	79.404822
450	450	3.8506296	79.284084
455	455	3.8492136	79.163347
460	460	3.8478055	79.042611
465	465	3.8464053	78.921877
470	470	3.8450132	78.801144
475	475	3.8436293	78.680414
480	480	3.8422538	78.559686
485	485	3.8408866	78.43896
490	490	3.8395279	78.318237
495	495	3.8381776	78.197518
500	500	3.8368359	78.076802
505	505	3.8355027	77.95609
510	510	3.834178	77.835383
515	515	3.8328618	77.714682
520	520	3.8315541	77.593986
525	525	3.8302548	77.473297
530	530	3.8289639	77.352615
535	535	3.8276813	77.231941
540	540	3.8264069	77.111276
545	545	3.8251406	76.990622
550	550	3.8238823	76.869978
555	555	3.8226318	76.749346
560	560	3.8213891	76.628729
565	565	3.820154	76.508126
570	570	3.8189263	76.38754
575	575	3.8177059	76.266972
580	580	3.8164925	76.146424
585	585	3.8152859	76.025899
590	590	3.814086	75.905398
595	595	3.8128925	75.784923
600	600	3.8117051	75.664477
605	605	3.8105237	75.544063
610	610	3.809348	75.423683
615	615	3.8081776	75.30334
620	620	3.8070123	75.183037
625	625	3.8058519	75.062777
630	630	3.8046959	74.942564
635	635	3.8035442	74.8224
640	640	3.8023964	74.702289
645	645	3.8012521	74.582234
650	650	3.8001112	74.462238
655	655	3.7989731	74.342305
660	660	3.7978377	74.222436
665	665	3.7967045	74.102636
670	670	3.7955734	73.982907
675	675	3.7944439	73.86325
680	680	3.7933158	73.743668
685	685	3.7921887	73.624163
690	690	3.7910624	73.504737
695	695	3.7899366	73.385389
700	700	3.788811	73.266122
705	705	3.7876853	73.146935
710	710	3.7865592	73.027828
715	715	3.7854326	72.908801
720	720	3.7843052	72.789854
725	725	3.7831768	72.670985
730	730	3.7820472	72.552194
735	735	3.7809161	72.433479
740	740	3.7797834	72.314837
745	745	3.7786489	72.196268
750	750	3.7775125	72.07777
755	755	3.776374	71.959339
760	760	3.7752333	71.840974
765	765	3.7740903	71.722672
770	770	3.7729448	71.604431
775	775	3.7717968	71.486249
780	780	3.7706462	71.368122
785	785	3.7694929	71.250047
790	790	3.7683368	71.132023
795	795	3.7671778	71.014047
800	800	3.766016	70.896115
805	805	3.7648512	70.778226
810	810	3.7636834	70.660375
815	815	3.7625126	70.542562
820	820	3.7613386	70.424782
825	825	3.7601615	70.307034
830	830	3.7589812	70.189314
835	835	3.7577977	70.07162
840	840	3.7566109	69.95395
845	845	3.7554208	69.8363
850	850	3.7542273	69.718669
855	855	3.7530304	69.601054
860	860	3.7518301	69.483453
865	865	3.7506262	69.365863
870	870	3.7494189	69.248282
875	875	3.748208	69.130708
880	880	3.7469934	69.013138
885	885	3.7457752	68.895571
890	890	3.7445533	68.778004
895	895	3.7433277	68.660435
900	900	3.7420983	68.542863
905	905	3.740865	68.425284
910	910	3.7396278	68.307698
915	915	3.7383866	68.190102
920	920	3.7371414	68.072494
925	925	3.7358922	67.954873
930	930	3.7346388	67.837237
935	935	3.7333812	67.719584
940	940	3.7321194	67.601912
945	945	3.7308533	67.48422
950	950	3.7295828	67.366506
955	955	3.7283078	67.248768
960	960	3.7270283	67.131006
965	965	3.7257443	67.013216
970	970	3.7244555	66.895399
975	975	3.7231621	66.777552
980	980	3.7218639	66.659674
985	985	3.7205608	66.541764
990	990	3.7192527	66.42382
995	995	3.7179396	66.305841
1000	1000	3.7166215	66.187825
1005	1005	3.7152981	66.069772
1010	1010	3.7139695	65.951679
1015	1015	3.7126356	65.833547
1020	1020	3.7112962	65.715373
1025	1025	3.7099514	65.597156
1030	1030	3.708601	65.478896
1035	1035	3.7072449	65.360591
1040	1040	3.7058831	65.242239
1045	1045	3.7045155	65.123841
1050	1050	3.703142	65.005394
1055	1055	3.7017626	64.886898
1060	1060	3.7003771	64.768352
1065	1065	3.6989855	64.649754
1070	1070	3.6975877	64.531105
1075	1075	3.6961836	64.412401
1080	1080	3.6947733	64.293644
1085	1085	3.6933565	64.174832
1090	1090	3.6919332	64.055963
1095	1095	3.6905035	63.937038
1100	1100	3.6890671	63.818055
