step	time[s]	voltage[V]	SoC[%]
5	5	4.073058	81.07
10	10	4.067872	80.96
15	15	4.064256	80.86
20	20	4.061205	80.75
25	25	4.058487	80.65
30	30	4.055995	80.54
35	35	4.053665	80.44
40	40	4.051477	80.33
45	45	4.049461	80.23
50	50	4.047543	80.13
55	55	4.045653	80.02
60	60	4.043855	79.92
65	65	4.042069	79.81
70	70	4.040279	79.71
75	75	4.038581	79.6
80	80	4.036981	79.5
85	85	4.035414	79.39
90	90	4.03383 	79.29
95	95	4.032209	79.18
100	100	4.030587	79.08
105	105	4.029024	78.98
110	110	4.02752 	78.87
115	115	4.026079	78.77
120	120	4.024695	78.66
125	125	4.023253	78.56
130	130	4.021776	78.45
135	135	4.020353	78.35
140	140	4.018935	78.24
145	145	4.017511	78.14
150	150	4.016143	78.03
155	155	4.014812	77.93
160	160	4.013466	77.82
165	165	4.012111	77.72
170	170	4.010752	77.62
175	175	4.009376	77.51
180	180	4.008017	77.41
185	185	4.006708	77.3
190	190	4.005418	77.2
195	195	4.004124	77.09
200	200	4.002833	76.99
205	205	4.001549	76.88
210	210	4.000267	76.78
215	215	3.998989	76.67
220	220	3.997714	76.57
225	225	3.996442	76.47
230	230	3.995173	76.36
235	235	3.993905	76.26
240	240	3.992639	76.15
245	245	3.991386	76.05
250	250	3.990149	75.94
255	255	3.988921	75.84
260	260	3.987703	75.73
265	265	3.986486	75.63
270	270	3.985244	75.52
275	275	3.983974	75.42
280	280	3.982698	75.31
285	285	3.981453	75.21
290	290	3.980267	75.11
295	295	3.979108	75
300	300	3.977929	74.9
305	305	3.976712	74.79
310	310	3.975463	74.69
315	315	3.974215	74.58
320	320	3.972987	74.48
325	325	3.971772	74.37
330	330	3.970579	74.27
335	335	3.969418	74.16
340	340	3.968279	74.06
345	345	3.967142	73.95
350	350	3.965991	73.85
355	355	3.964825	73.75
360	360	3.963663	73.64
365	365	3.962513	73.54
370	370	3.961347	73.43
375	375	3.960174	73.33
380	380	3.959049	73.22
385	385	3.957958	73.12
390	390	3.956836	73.01
395	395	3.955681	72.91
400	400	3.954528	72.8
405	405	3.953381	72.7
410	410	3.952231	72.6
415	415	3.951081	72.49
420	420	3.94993 	72.39
425	425	3.948766	72.28
430	430	3.947589	72.18
435	435	3.946411	72.07
440	440	3.945227	71.97
445	445	3.944019	71.86
450	450	3.942813	71.76
455	455	3.941639	71.65
460	460	3.940487	71.55
465	465	3.93933 	71.44
470	470	3.938156	71.34
475	475	3.93697 	71.24
480	480	3.935782	71.13
485	485	3.93459 	71.03
490	490	3.933375	70.92
495	495	3.932154	70.82
500	500	3.930965	70.71
505	505	3.929794	70.61
510	510	3.928607	70.5
515	515	3.927405	70.4
520	520	3.926202	70.29
525	525	3.924998	70.19
530	530	3.923788	70.08
535	535	3.92258 	69.98
540	540	3.921399	69.88
545	545	3.92026 	69.77
550	550	3.91912 	69.67
555	555	3.917911	69.56
560	560	3.916673	69.46
565	565	3.915488	69.35
570	570	3.91432 	69.25
575	575	3.913105	69.14
580	580	3.911891	69.04
585	585	3.910728	68.93
590	590	3.909599	68.83
595	595	3.908472	68.73
600	600	3.907332	68.62
605	605	3.906184	68.52
610	610	3.905033	68.41
615	615	3.903859	68.31
620	620	3.902662	68.2
625	625	3.901488	68.1
630	630	3.900369	67.99
635	635	3.899246	67.89
640	640	3.898054	67.78
645	645	3.896855	67.68
650	650	3.895718	67.57
655	655	3.894625	67.47
660	660	3.893524	67.37
665	665	3.892373	67.26
670	670	3.891193	67.16
675	675	3.89005 	67.05
680	680	3.888938	66.95
685	685	3.88782 	66.84
690	690	3.886701	66.74
695	695	3.885604	66.63
700	700	3.884511	66.53
705	705	3.883388	66.42
710	710	3.882245	66.32
715	715	3.881111	66.21
720	720	3.880007	66.11
725	725	3.878924	66.01
730	730	3.877823	65.9
735	735	3.876696	65.8
740	740	3.875583	65.69
745	745	3.874493	65.59
750	750	3.873404	65.48
755	755	3.872294	65.38
760	760	3.871164	65.27
765	765	3.870041	65.17
770	770	3.868949	65.06
775	775	3.867866	64.96
780	780	3.866772	64.86
785	785	3.865676	64.75
790	790	3.864591	64.65
795	795	3.863511	64.54
800	800	3.862426	64.44
805	805	3.861344	64.33
810	810	3.860281	64.23
815	815	3.859228	64.12
820	820	3.858158	64.02
825	825	3.85706 	63.91
830	830	3.855969	63.81
835	835	3.854895	63.7
840	840	3.853791	63.6
845	845	3.852654	63.5
850	850	3.851552	63.39
855	855	3.850488	63.29
860	860	3.84941 	63.18
865	865	3.848314	63.08
870	870	3.847235	62.97
875	875	3.84616 	62.87
880	880	3.845062	62.76
885	885	3.843964	62.66
890	890	3.842884	62.55
895	895	3.841795	62.45
900	900	3.840684	62.34
905	905	3.83959 	62.24
910	910	3.838521	62.14
915	915	3.837433	62.03
920	920	3.836319	61.93
925	925	3.835227	61.82
930	930	3.834159	61.72
935	935	3.833079	61.61
940	940	3.831976	61.51
945	945	3.830865	61.4
950	950	3.829768	61.3
955	955	3.828688	61.19
960	960	3.827595	61.09
965	965	3.826487	60.99
970	970	3.825413	60.88
975	975	3.824373	60.78
980	980	3.823298	60.67
985	985	3.822184	60.57
990	990	3.821092	60.46
995	995	3.820029	60.36
1000	1000	3.818965	60.25
1005	1005	3.817894	60.15
1010	1010	3.816823	60.04
1015	1015	3.815754	59.94
1020	1020	3.814684	59.83
1025	1025	3.813611	59.73
1030	1030	3.81254 	59.63
1035	1035	3.811478	59.52
1040	1040	3.810424	59.42
1045	1045	3.809369	59.31
1050	1050	3.808318	59.21
1055	1055	3.807276	59.1
1060	1060	3.806249	59
1065	1065	3.805239	58.89
1070	1070	3.804224	58.79
1075	1075	3.803181	58.68
1080	1080	3.802136	58.58
1085	1085	3.801112	58.48
1090	1090	3.800085	58.37
1095	1095	3.799039	58.27
1100	1100	3.797996	58.16
1105	1105	3.796972	58.06
1110	1110	3.795958	57.95
1115	1115	3.794954	57.85
1120	1120	3.793969	57.74
1125	1125	3.793   	57.64
1130	1130	3.792033	57.53
1135	1135	3.791065	57.43
1140	1140	3.790098	57.32
1145	1145	3.78912 	57.22
1150	1150	3.788132	57.12
1155	1155	3.787163	57.01
1160	1160	3.786216	56.91
1165	1165	3.785269	56.8
1170	1170	3.784324	56.7
1175	1175	3.78339 	56.59
1180	1180	3.782464	56.49
1185	1185	3.781536	56.38
1190	1190	3.78059 	56.28
1195	1195	3.77963 	56.17
1200	1200	3.778703	56.07
1205	1205	3.777825	55.96
1210	1210	3.776952	55.86
1215	1215	3.776045	55.76
1220	1220	3.775114	55.65
1225	1225	3.774198	55.55
1230	1230	3.77333 	55.44
1235	1235	3.772494	55.34
1240	1240	3.77164 	55.23
1245	1245	3.770761	55.13
1250	1250	3.769891	55.02
1255	1255	3.769048	54.92
1260	1260	3.768226	54.81
1265	1265	3.767399	54.71
1270	1270	3.766546	54.61
1275	1275	3.765686	54.5
1280	1280	3.764843	54.4
1285	1285	3.764029	54.29
1290	1290	3.763236	54.19
1295	1295	3.762427	54.08
1300	1300	3.761597	53.98
1305	1305	3.760774	53.87
1310	1310	3.759976	53.77
1315	1315	3.759196	53.66
1320	1320	3.758423	53.56
1325	1325	3.75765 	53.45
1330	1330	3.756868	53.35
1335	1335	3.756085	53.25
1340	1340	3.755316	53.14
1345	1345	3.754563	53.04
1350	1350	3.753804	52.93
1355	1355	3.753035	52.83
1360	1360	3.752285	52.72
1365	1365	3.751566	52.62
1370	1370	3.750868	52.51
1375	1375	3.750162	52.41
1380	1380	3.749419	52.3
1385	1385	3.748657	52.2
1390	1390	3.747916	52.09
1395	1395	3.747197	51.99
1400	1400	3.746485	51.89
1405	1405	3.745772	51.78
1410	1410	3.745058	51.68
1415	1415	3.744347	51.57
1420	1420	3.743637	51.47
1425	1425	3.74292 	51.36
1430	1430	3.742211	51.26
1435	1435	3.74154 	51.15
1440	1440	3.740889	51.05
1445	1445	3.740219	50.94
1450	1450	3.739534	50.84
1455	1455	3.73886 	50.74
1460	1460	3.738203	50.63
1465	1465	3.737558	50.53
1470	1470	3.736902	50.42
1475	1475	3.736226	50.32
1480	1480	3.735553	50.21
1485	1485	3.73489 	50.11
1490	1490	3.734242	50
1495	1495	3.733605	49.9
1500	1500	3.732958	49.79
1505	1505	3.7323  	49.69
1510	1510	3.731646	49.58
1515	1515	3.731006	49.48
1520	1520	3.730384	49.38
1525	1525	3.729764	49.27
1530	1530	3.72913 	49.17
1535	1535	3.728504	49.06
1540	1540	3.727896	48.96
1545	1545	3.727291	48.85
1550	1550	3.726675	48.75
1555	1555	3.726048	48.64
1560	1560	3.725427	48.54
1565	1565	3.724825	48.43
