step	time[s]	voltage[V]	SoC[%]
5	5	4.013554	90.02
10	10	3.995642	89.9
15	15	3.982964	89.78
20	20	3.973474	89.66
25	25	3.966079	89.54
30	30	3.960163	89.42
35	35	3.955347	89.31
40	40	3.951385	89.19
45	45	3.948102	89.07
50	50	3.94537 	88.95
55	55	3.943086	88.83
60	60	3.94117 	88.71
65	65	3.939554	88.59
70	70	3.938177	88.47
75	75	3.937   	88.35
80	80	3.935977	88.23
85	85	3.935076	88.11
90	90	3.934269	87.99
95	95	3.933535	87.88
100	100	3.932857	87.76
105	105	3.93222 	87.64
110	110	3.931615	87.52
115	115	3.931031	87.4
120	120	3.930461	87.28
125	125	3.929897	87.16
130	130	3.929335	87.04
135	135	3.928768	86.92
140	140	3.928191	86.8
145	145	3.927601	86.68
150	150	3.926993	86.56
155	155	3.926364	86.45
160	160	3.92571 	86.33
165	165	3.92503 	86.21
170	170	3.92432 	86.09
175	175	3.923578	85.97
180	180	3.922803	85.85
185	185	3.921995	85.73
190	190	3.921151	85.61
195	195	3.920271	85.49
200	200	3.919356	85.37
205	205	3.918405	85.25
210	210	3.917418	85.13
215	215	3.916397	85.02
220	220	3.915342	84.9
225	225	3.914253	84.78
230	230	3.913133	84.66
235	235	3.911982	84.54
240	240	3.910801	84.42
245	245	3.909592	84.3
250	250	3.908355	84.18
255	255	3.907094	84.06
260	260	3.905808	83.94
265	265	3.904499	83.82
270	270	3.903169	83.7
275	275	3.90182 	83.59
280	280	3.900451	83.47
285	285	3.899066	83.35
290	290	3.897665	83.23
295	295	3.896249	83.11
300	300	3.894821	82.99
305	305	3.89338 	82.87
310	310	3.891929	82.75
315	315	3.890468	82.63
320	320	3.888999	82.51
325	325	3.887523	82.39
330	330	3.88604 	82.27
335	335	3.884552	82.16
340	340	3.88306 	82.04
345	345	3.881564	81.92
350	350	3.880066	81.8
355	355	3.878566	81.68
360	360	3.877066	81.56
365	365	3.875565	81.44
370	370	3.874065	81.32
375	375	3.872566	81.2
380	380	3.871069	81.08
385	385	3.869575	80.96
390	390	3.868084	80.84
395	395	3.866596	80.73
400	400	3.865113	80.61
405	405	3.863634	80.49
410	410	3.86216 	80.37
415	415	3.860691	80.25
420	420	3.859228	80.13
425	425	3.857771	80.01
430	430	3.856321	79.89
435	435	3.854877	79.77
440	440	3.853441	79.65
445	445	3.852011	79.53
450	450	3.850589	79.41
455	455	3.849175	79.3
460	460	3.847768	79.18
465	465	3.84637 	79.06
470	470	3.844979	78.94
475	475	3.843597	78.82
480	480	3.842223	78.7
485	485	3.840857	78.58
490	490	3.8395  	78.46
495	495	3.838152	78.34
500	500	3.836811	78.22
505	505	3.83548 	78.1
510	510	3.834157	77.98
515	515	3.832842	77.87
520	520	3.831536	77.75
525	525	3.830239	77.63
530	530	3.828949	77.51
535	535	3.827668	77.39
540	540	3.826396	77.27
545	545	3.825131	77.15
550	550	3.823875	77.03
555	555	3.822626	76.91
560	560	3.821386	76.79
565	565	3.820153	76.67
570	570	3.818927	76.55
575	575	3.817709	76.44
580	580	3.816498	76.32
585	585	3.815294	76.2
590	590	3.814096	76.08
595	595	3.812906	75.96
600	600	3.811721	75.84
605	605	3.810542	75.72
610	610	3.80937 	75.6
615	615	3.808202	75.48
620	620	3.80704 	75.36
625	625	3.805883	75.24
630	630	3.804731	75.12
635	635	3.803583	75.01
640	640	3.802438	74.89
645	645	3.801298	74.77
650	650	3.80016 	74.65
655	655	3.799026	74.53
660	660	3.797894	74.41
665	665	3.796764	74.29
670	670	3.795636	74.17
675	675	3.794509	74.05
680	680	3.793384	73.93
685	685	3.792259	73.81
690	690	3.791135	73.69
695	695	3.790011	73.58
700	700	3.788886	73.46
705	705	3.787761	73.34
710	710	3.786636	73.22
715	715	3.785509	73.1
720	720	3.784382	72.98
725	725	3.783252	72.86
730	730	3.782122	72.74
735	735	3.780989	72.62
740	740	3.779855	72.5
745	745	3.778718	72.38
750	750	3.77758 	72.26
755	755	3.776439	72.15
760	760	3.775296	72.03
765	765	3.77415 	71.91
770	770	3.773002	71.79
775	775	3.771851	71.67
780	780	3.770698	71.55
785	785	3.769542	71.43
790	790	3.768383	71.31
795	795	3.767222	71.19
800	800	3.766057	71.07
805	805	3.76489 	70.95
810	810	3.76372 	70.83
815	815	3.762546	70.72
820	820	3.76137 	70.6
825	825	3.76019 	70.48
830	830	3.759008	70.36
835	835	3.757822	70.24
840	840	3.756633	70.12
845	845	3.755441	70
850	850	3.754245	69.88
855	855	3.753046	69.76
860	860	3.751844	69.64
865	865	3.750638	69.52
870	870	3.749429	69.4
875	875	3.748216	69.29
880	880	3.747   	69.17
885	885	3.74578 	69.05
890	890	3.744556	68.93
895	895	3.743329	68.81
900	900	3.742098	68.69
905	905	3.740863	68.57
910	910	3.739624	68.45
915	915	3.738382	68.33
920	920	3.737135	68.21
925	925	3.735885	68.09
930	930	3.73463 	67.97
935	935	3.733371	67.86
940	940	3.732108	67.74
945	945	3.730841	67.62
950	950	3.729569	67.5
955	955	3.728293	67.38
960	960	3.727012	67.26
965	965	3.725727	67.14
970	970	3.724437	67.02
975	975	3.723143	66.9
980	980	3.721844	66.78
985	985	3.72054 	66.66
990	990	3.719231	66.54
995	995	3.717917	66.43
1000	1000	3.716597	66.31
1005	1005	3.715273	66.19
1010	1010	3.713944	66.07
1015	1015	3.712609	65.95
1020	1020	3.711269	65.83
1025	1025	3.709923	65.71
1030	1030	3.708572	65.59
1035	1035	3.707215	65.47
1040	1040	3.705853	65.35
1045	1045	3.704484	65.23
1050	1050	3.70311 	65.11
1055	1055	3.70173 	65
1060	1060	3.700344	64.88
1065	1065	3.698952	64.76
1070	1070	3.697553	64.64
1075	1075	3.696149	64.52
1080	1080	3.694738	64.4
1085	1085	3.69332 	64.28
1090	1090	3.691896	64.16
1095	1095	3.690466	64.04
1100	1100	3.689029	63.92
1105	1105	3.687586	63.8
1110	1110	3.686136	63.68
1115	1115	3.684679	63.57
1120	1120	3.683215	63.45
1125	1125	3.681744	63.33
1130	1130	3.680267	63.21
1135	1135	3.678783	63.09
1140	1140	3.677292	62.97
1145	1145	3.675794	62.85
1150	1150	3.674289	62.73
1155	1155	3.672778	62.61
1160	1160	3.67126 	62.49
1165	1165	3.669735	62.37
1170	1170	3.668203	62.25
1175	1175	3.666665	62.14
1180	1180	3.66512 	62.02
1185	1185	3.663569	61.9
1190	1190	3.662012	61.78
1195	1195	3.660449	61.66
1200	1200	3.65888 	61.54
1205	1205	3.657306	61.42
1210	1210	3.655726	61.3
1215	1215	3.654142	61.18
1220	1220	3.652553	61.06
1225	1225	3.65096 	60.94
1230	1230	3.649363	60.82
1235	1235	3.647763	60.7
1240	1240	3.64616 	60.59
1245	1245	3.644555	60.47
1250	1250	3.642949	60.35
1255	1255	3.641342	60.23
1260	1260	3.639734	60.11
1265	1265	3.638126	59.99
1270	1270	3.636519	59.87
1275	1275	3.634914	59.75
1280	1280	3.633311	59.63
1285	1285	3.631711	59.51
1290	1290	3.630115	59.39
1295	1295	3.628522	59.27
1300	1300	3.626935	59.16
1305	1305	3.625352	59.04
1310	1310	3.623776	58.92
1315	1315	3.622206	58.8
1320	1320	3.620642	58.68
1325	1325	3.619086	58.56
1330	1330	3.617538	58.44
1335	1335	3.615997	58.32
1340	1340	3.614465	58.2
1345	1345	3.612942	58.08
1350	1350	3.611427	57.96
1355	1355	3.609922	57.84
1360	1360	3.608426	57.73
1365	1365	3.606939	57.61
1370	1370	3.605462	57.49
1375	1375	3.603995	57.37
1380	1380	3.602537	57.25
1385	1385	3.601089	57.13
1390	1390	3.599651	57.01
1395	1395	3.598223	56.89
1400	1400	3.596805	56.77
