step	time[s]	voltage[V]	SoC[%]
5	5	4.0426362	90.020575
10	10	4.0290099	89.901411
15	15	4.0196333	89.782247
20	20	4.0128026	89.663082
25	25	4.0076057	89.543918
30	30	4.0035315	89.424753
35	35	4.0002739	89.305589
40	40	3.9976363	89.186424
45	45	3.9954839	89.06726
50	50	3.993719	88.948096
55	55	3.9922673	88.828931
60	60	3.9910704	88.709767
65	65	3.9900813	88.590602
70	70	3.9892612	88.471438
75	75	3.9885774	88.352273
80	80	3.9880026	88.233109
85	85	3.9875132	88.113944
90	90	3.9870891	87.99478
95	95	3.986713	87.875616
100	100	3.9863701	87.756451
105	105	3.9860472	87.637287
110	110	3.9857334	87.518122
115	115	3.9854191	87.398958
120	120	3.9850961	87.279793
125	125	3.9847573	87.160629
130	130	3.9843969	87.041465
135	135	3.9840097	86.9223
140	140	3.9835917	86.803136
145	145	3.9831394	86.683971
150	150	3.9826502	86.564807
155	155	3.9821217	86.445642
160	160	3.9815525	86.326478
165	165	3.9809412	86.207314
170	170	3.9802873	86.088149
175	175	3.9795901	85.968985
180	180	3.9788498	85.84982
185	185	3.9780664	85.730656
190	190	3.9772405	85.611491
195	195	3.9763727	85.492327
200	200	3.9754637	85.373163
205	205	3.9745147	85.253998
210	210	3.9735267	85.134834
215	215	3.972501	85.015669
220	220	3.9714388	84.896505
225	225	3.9703417	84.77734
230	230	3.9692109	84.658176
235	235	3.9680481	84.539012
240	240	3.9668548	84.419847
245	245	3.9656325	84.300683
250	250	3.9643827	84.181518
255	255	3.963107	84.062354
260	260	3.961807	83.943189
265	265	3.9604842	83.824025
270	270	3.9591401	83.704861
275	275	3.9577762	83.585696
280	280	3.956394	83.466532
285	285	3.9549949	83.347367
290	290	3.9535803	83.228203
295	295	3.9521515	83.109038
300	300	3.9507099	82.989874
305	305	3.9492567	82.870709
310	310	3.9477932	82.751545
315	315	3.9463205	82.632381
320	320	3.9448398	82.513216
325	325	3.9433523	82.394052
330	330	3.9418588	82.274887
335	335	3.9403606	82.155723
340	340	3.9388584	82.036558
345	345	3.9373533	81.917394
350	350	3.9358461	81.79823
355	355	3.9343377	81.679065
360	360	3.9328287	81.559901
365	365	3.9313201	81.440736
370	370	3.9298124	81.321572
375	375	3.9283064	81.202407
380	380	3.9268027	81.083243
385	385	3.9253019	80.964079
390	390	3.9238046	80.844914
395	395	3.9223111	80.72575
400	400	3.9208222	80.606585
405	405	3.9193382	80.487421
410	410	3.9178595	80.368256
415	415	3.9163865	80.249092
420	420	3.9149197	80.129928
425	425	3.9134593	80.010763
430	430	3.9120056	79.891599
435	435	3.910559	79.772434
440	440	3.9091197	79.65327
