step	time[s]	voltage[V]	SoC[%]
5	5	4.0914397	81.067113
10	10	4.08674 	80.962509
15	15	4.0832647	80.857905
20	20	4.0802975	80.753301
25	25	4.077633	80.648696
30	30	4.0751776	80.544092
35	35	4.0728802	80.439488
40	40	4.0706838	80.334884
45	45	4.0687637	80.23028
50	50	4.066806	80.125676
55	55	4.064929	80.021072
60	60	4.0632028	79.916467
65	65	4.0613689	79.811863
70	70	4.0595601	79.707259
75	75	4.0578858	79.602655
80	80	4.0563327	79.498051
85	85	4.0547983	79.393447
90	90	4.0531834	79.288843
95	95	4.0515429	79.184238
100	100	4.049943	79.079634
105	105	4.0483117	78.97503
110	110	4.0468176	78.870426
115	115	4.0455411	78.765822
120	120	4.0440995	78.661218
125	125	4.0425575	78.556614
130	130	4.0411756	78.452009
135	135	4.0397544	78.347405
140	140	4.0382533	78.242801
145	145	4.0368621	78.138197
150	150	4.0355353	78.033593
155	155	4.0341912	77.928989
160	160	4.0328727	77.824385
165	165	4.0315437	77.71978
170	170	4.0301189	77.615176
175	175	4.0287036	77.510572
180	180	4.027395	77.405968
185	185	4.0261119	77.301364
190	190	4.0248121	77.19676
195	195	4.0235177	77.092156
200	200	4.0222321	76.987551
205	205	4.0209492	76.882947
210	210	4.0196693	76.778343
215	215	4.0183931	76.673739
220	220	4.0171205	76.569135
225	225	4.0158504	76.464531
230	230	4.0145816	76.359927
235	235	4.0133179	76.255323
240	240	4.0120601	76.150718
245	245	4.0107895	76.046114
250	250	4.0095175	75.94151
255	255	4.0083189	75.836906
260	260	4.0071817	75.732302
265	265	4.0059989	75.627698
270	270	4.0047164	75.523094
275	275	4.0033406	75.418489
280	280	4.0020129	75.313885
285	285	4.0008482	75.209281
290	290	3.9997489	75.104677
295	295	3.9986155	75.000073
300	300	3.9974128	74.895469
305	305	3.9961576	74.790865
310	310	3.9949075	74.68626
315	315	3.9936635	74.581656
320	320	3.9924038	74.477052
325	325	3.9911766	74.372448
330	330	3.9900268	74.267844
335	335	3.9889051	74.16324
340	340	3.9877677	74.058636
345	345	3.9866199	73.954031
350	350	3.9854788	73.849427
355	355	3.9843637	73.744823
360	360	3.9832209	73.640219
365	365	3.9819691	73.535615
370	370	3.9807352	73.431011
375	375	3.9796769	73.326407
380	380	3.9786534	73.221802
385	385	3.9775213	73.117198
390	390	3.9763543	73.012594
395	395	3.9752126	72.90799
400	400	3.9740748	72.803386
405	405	3.97293 	72.698782
410	410	3.9717861	72.594178
415	415	3.9706416	72.489573
420	420	3.9694913	72.384969
425	425	3.9683502	72.280365
430	430	3.9672242	72.175761
435	435	3.9660462	72.071157
440	440	3.9647862	71.966553
445	445	3.9635566	71.861949
450	450	3.9624117	71.757344
455	455	3.9612803	71.65274
460	460	3.9601278	71.548136
465	465	3.9589686	71.443532
470	470	3.9578197	71.338928
475	475	3.9566887	71.234324
480	480	3.9555182	71.12972
485	485	3.9542589	71.025115
490	490	3.9530084	70.920511
495	495	3.9518461	70.815907
500	500	3.9507047	70.711303
505	505	3.9495416	70.606699
510	510	3.9483909	70.502095
515	515	3.9472351	70.397491
520	520	3.9460019	70.292886
525	525	3.944722	70.188282
530	530	3.943493	70.083678
535	535	3.9423666	69.979074
540	540	3.9413347	69.87447
545	545	3.9402183	69.769866
550	550	3.9389215	69.665262
555	555	3.937703	69.560657
560	560	3.9366616	69.456053
565	565	3.9355215	69.351449
570	570	3.9342173	69.246845
575	575	3.9329549	69.142241
580	580	3.9317999	69.037637
585	585	3.9307049	68.933033
590	590	3.9296385	68.828428
595	595	3.9285757	68.723824
600	600	3.9274771	68.61922
605	605	3.9263115	68.514616
610	610	3.9250845	68.410012
615	615	3.9238627	68.305408
620	620	3.9228073	68.200804
625	625	3.9218587	68.096199
630	630	3.9206966	67.991595
635	635	3.9193562	67.886991
640	640	3.9181421	67.782387
645	645	3.9171034	67.677783
650	650	3.9161417	67.573179
655	655	3.9151056	67.468575
660	660	3.9139037	67.36397
665	665	3.9126959	67.259366
670	670	3.9115914	67.154762
675	675	3.9104916	67.050158
680	680	3.9093692	66.945554
685	685	3.9083201	66.84095
690	690	3.9073228	66.736346
695	695	3.9062571	66.631741
700	700	3.9051178	66.527137
705	705	3.9039677	66.422533
710	710	3.9028723	66.317929
715	715	3.901859	66.213325
720	720	3.9008148	66.108721
725	725	3.899676	66.004117
730	730	3.8985609	65.899512
735	735	3.8975309	65.794908
740	740	3.8965286	65.690304
745	745	3.8954898	65.5857
750	750	3.894363	65.481096
755	755	3.8932068	65.376492
760	760	3.8921275	65.271888
765	765	3.8910965	65.167283
770	770	3.8900482	65.062679
775	775	3.8889859	64.958075
780	780	3.8879251	64.853471
785	785	3.8868686	64.748867
790	790	3.8858079	64.644263
795	795	3.8847229	64.539659
800	800	3.8836468	64.435054
805	805	3.8826584	64.33045
810	810	3.8816939	64.225846
815	815	3.8806214	64.121242
820	820	3.8795382	64.016638
825	825	3.8785738	63.912034
830	830	3.8775469	63.80743
835	835	3.8763287	63.702825
840	840	3.87517 	63.598221
845	845	3.8741874	63.493617
850	850	3.873154	63.389013
855	855	3.8720203	63.284409
860	860	3.8709649	63.179805
865	865	3.869964	63.075201
870	870	3.86886 	62.970596
875	875	3.8677242	62.865992
880	880	3.8666919	62.761388
885	885	3.8656543	62.656784
890	890	3.8645064	62.55218
895	895	3.8633835	62.447576
900	900	3.862353	62.342972
905	905	3.8612679	62.238367
910	910	3.8600952	62.133763
915	915	3.8589695	62.029159
920	920	3.8579212	61.924555
925	925	3.8568861	61.819951
930	930	3.8557957	61.715347
935	935	3.8546087	61.610743
940	940	3.8534327	61.506138
945	945	3.8523568	61.401534
950	950	3.8512338	61.29693
955	955	3.8500028	61.192326
960	960	3.8488869	61.087722
965	965	3.8479159	60.983118
970	970	3.8468162	60.878514
975	975	3.8455703	60.773909
980	980	3.8443936	60.669305
985	985	3.8432984	60.564701
990	990	3.842187	60.460097
995	995	3.8410547	60.355493
1000	1000	3.8399254	60.250889
1005	1005	3.8387972	60.146285
1010	1010	3.8376648	60.041681
1015	1015	3.8365301	59.937076
1020	1020	3.8353941	59.832472
1025	1025	3.8342551	59.727868
1030	1030	3.8331157	59.623264
1035	1035	3.8319814	59.51866
1040	1040	3.8308398	59.414056
1045	1045	3.8296778	59.309452
1050	1050	3.8285563	59.204847
1055	1055	3.8275272	59.100243
1060	1060	3.826477	58.995639
1065	1065	3.8253302	58.891035
1070	1070	3.8242227	58.786431
1075	1075	3.823208	58.681827
1080	1080	3.82215 	58.577223
1085	1085	3.8210116	58.472618
1090	1090	3.8198775	58.368014
1095	1095	3.8187613	58.26341
1100	1100	3.8176313	58.158806
1105	1105	3.8165287	58.054202
1110	1110	3.8155078	57.949598
1115	1115	3.8145225	57.844994
1120	1120	3.8135243	57.740389
1125	1125	3.8125404	57.635785
1130	1130	3.8115684	57.531181
1135	1135	3.8105296	57.426577
1140	1140	3.809435	57.321973
1145	1145	3.8084058	57.217369
1150	1150	3.8074526	57.112765
1155	1155	3.8065012	57.00816
1160	1160	3.8055356	56.903556
1165	1165	3.8045718	56.798952
1170	1170	3.8036308	56.694348
1175	1175	3.8027083	56.589744
1180	1180	3.8017173	56.48514
1185	1185	3.8006508	56.380536
1190	1190	3.7996929	56.275931
1195	1195	3.798885	56.171327
1200	1200	3.7980563	56.066723
1205	1205	3.7971196	55.962119
1210	1210	3.7960843	55.857515
1215	1215	3.7950756	55.752911
1220	1220	3.7942375	55.648307
1225	1225	3.7934559	55.543702
1230	1230	3.7925792	55.439098
1235	1235	3.7916481	55.334494
1240	1240	3.7907383	55.22989
1245	1245	3.7899062	55.125286
1250	1250	3.7891369	55.020682
1255	1255	3.7883213	54.916078
1260	1260	3.7874323	54.811473
1265	1265	3.7865273	54.706869
1270	1270	3.7856677	54.602265
1275	1275	3.7848967	54.497661
1280	1280	3.7841374	54.393057
1285	1285	3.7832978	54.288453
1290	1290	3.7824138	54.183849
1295	1295	3.7815453	54.079244
1300	1300	3.7807328	53.97464
1305	1305	3.7799867	53.870036
1310	1310	3.7792731	53.765432
1315	1315	3.7785365	53.660828
1320	1320	3.7777133	53.556224
1325	1325	3.7768667	53.45162
1330	1330	3.7761184	53.347015
1335	1335	3.7753936	53.242411
1340	1340	3.7745749	53.137807
1345	1345	3.7737373	53.033203
1350	1350	3.7729826	52.928599
1355	1355	3.7723388	52.823995
1360	1360	3.7717492	52.719391
1365	1365	3.771037	52.614786
1370	1370	3.7701963	52.510182
1375	1375	3.7694167	52.405578
1380	1380	3.7687256	52.300974
