step	time[s]	voltage[V]	SoC[%]
5	5	4.0425778	90.020575
10	10	4.0289519	89.901411
15	15	4.0195756	89.782247
20	20	4.0127451	89.663082
25	25	4.0075484	89.543918
30	30	4.0034744	89.424753
35	35	4.000217	89.305589
40	40	3.9975796	89.186424
45	45	3.9954273	89.06726
50	50	3.9936626	88.948096
55	55	3.992211	88.828931
60	60	3.9910143	88.709767
65	65	3.9900254	88.590602
70	70	3.9892053	88.471438
75	75	3.9885217	88.352273
80	80	3.987947	88.233109
85	85	3.9874577	88.113944
90	90	3.9870337	87.99478
95	95	3.9866578	87.875616
100	100	3.9863149	87.756451
105	105	3.9859922	87.637287
110	110	3.9856785	87.518122
115	115	3.9853643	87.398958
120	120	3.9850413	87.279793
125	125	3.9847027	87.160629
130	130	3.9843423	87.041465
135	135	3.9839552	86.9223
140	140	3.9835373	86.803136
145	145	3.9830851	86.683971
150	150	3.982596	86.564807
155	155	3.9820676	86.445642
160	160	3.9814984	86.326478
165	165	3.9808873	86.207314
170	170	3.9802334	86.088149
175	175	3.9795364	85.968985
180	180	3.9787961	85.84982
185	185	3.9780128	85.730656
190	190	3.977187	85.611491
195	195	3.9763192	85.492327
200	200	3.9754103	85.373163
205	205	3.9744614	85.253998
210	210	3.9734735	85.134834
215	215	3.9724478	85.015669
220	220	3.9713858	84.896505
225	225	3.9702887	84.77734
230	230	3.969158	84.658176
235	235	3.9679953	84.539012
240	240	3.966802	84.419847
245	245	3.9655798	84.300683
250	250	3.9643301	84.181518
255	255	3.9630545	84.062354
260	260	3.9617545	83.943189
265	265	3.9604318	83.824025
270	270	3.9590878	83.704861
275	275	3.957724	83.585696
280	280	3.9563418	83.466532
285	285	3.9549427	83.347367
290	290	3.9535282	83.228203
295	295	3.9520995	83.109038
300	300	3.9506579	82.989874
305	305	3.9492048	82.870709
310	310	3.9477413	82.751545
315	315	3.9462687	82.632381
320	320	3.9447881	82.513216
325	325	3.9433006	82.394052
330	330	3.9418073	82.274887
335	335	3.9403091	82.155723
340	340	3.938807	82.036558
345	345	3.9373019	81.917394
350	350	3.9357948	81.79823
355	355	3.9342864	81.679065
360	360	3.9327775	81.559901
365	365	3.9312689	81.440736
370	370	3.9297613	81.321572
375	375	3.9282554	81.202407
380	380	3.9267517	81.083243
385	385	3.925251	80.964079
390	390	3.9237537	80.844914
395	395	3.9222603	80.72575
400	400	3.9207714	80.606585
405	405	3.9192874	80.487421
410	410	3.9178088	80.368256
415	415	3.9163359	80.249092
420	420	3.9148691	80.129928
425	425	3.9134087	80.010763
430	430	3.9119551	79.891599
435	435	3.9105086	79.772434
440	440	3.9090693	79.65327
445	445	3.9076376	79.534105
450	450	3.9062137	79.414941
455	455	3.9047977	79.295777
460	460	3.9033899	79.176612
465	465	3.9019904	79.057448
470	470	3.9005993	78.938283
475	475	3.8992168	78.819119
480	480	3.8978429	78.699954
485	485	3.8964778	78.58079
490	490	3.8951215	78.461626
495	495	3.8937741	78.342461
500	500	3.8924356	78.223297
505	505	3.891106	78.104132
510	510	3.8897855	77.984968
515	515	3.8884739	77.865803
520	520	3.8871713	77.746639
525	525	3.8858777	77.627474
530	530	3.884593	77.50831
535	535	3.8833173	77.389146
540	540	3.8820504	77.269981
545	545	3.8807924	77.150817
550	550	3.8795431	77.031652
555	555	3.8783025	76.912488
560	560	3.8770706	76.793323
565	565	3.8758473	76.674159
570	570	3.8746324	76.554995
575	575	3.8734259	76.43583
580	580	3.8722277	76.316666
585	585	3.8710377	76.197501
590	590	3.8698558	76.078337
595	595	3.8686819	75.959172
600	600	3.8675158	75.840008
605	605	3.8663575	75.720844
610	610	3.8652069	75.601679
615	615	3.8640637	75.482515
620	620	3.862928	75.36335
625	625	3.8617994	75.244186
630	630	3.860678	75.125021
635	635	3.8595636	75.005857
640	640	3.858456	74.886693
645	645	3.8573552	74.767528
650	650	3.8562608	74.648364
655	655	3.8551729	74.529199
660	660	3.8540912	74.410035
665	665	3.8530157	74.29087
670	670	3.8519461	74.171706
675	675	3.8508823	74.052542
680	680	3.8498241	73.933377
685	685	3.8487714	73.814213
690	690	3.847724	73.695048
695	695	3.8466818	73.575884
700	700	3.8456445	73.456719
705	705	3.8446121	73.337555
710	710	3.8435843	73.218391
715	715	3.842561	73.099226
720	720	3.8415419	72.980062
725	725	3.840527	72.860897
