step	time[s]	voltage[V]	SoC[%]
5	5	4.0118711	90.020575
10	10	3.995144	89.901411
15	15	3.983094	89.782247
20	20	3.9739463	89.663082
25	25	3.9667373	89.543918
30	30	3.9609123	89.424753
35	35	3.9561277	89.305589
40	40	3.9521546	89.186424
45	45	3.9488309	89.06726
50	50	3.9460361	88.948096
55	55	3.9436764	88.828931
60	60	3.9416773	88.709767
65	65	3.9399777	88.590602
70	70	3.9385271	88.471438
75	75	3.937283	88.352273
80	80	3.9362093	88.233109
85	85	3.9352752	88.113944
90	90	3.9344542	87.99478
95	95	3.9337234	87.875616
100	100	3.9330631	87.756451
105	105	3.9324562	87.637287
110	110	3.9318879	87.518122
115	115	3.9313454	87.398958
120	120	3.9308176	87.279793
125	125	3.930295	87.160629
130	130	3.9297694	87.041465
135	135	3.9292339	86.9223
140	140	3.9286825	86.803136
145	145	3.9281103	86.683971
150	150	3.9275131	86.564807
155	155	3.9268875	86.445642
160	160	3.9262308	86.326478
165	165	3.9255409	86.207314
170	170	3.9248159	86.088149
175	175	3.9240549	85.968985
180	180	3.9232569	85.84982
185	185	3.9224216	85.730656
190	190	3.9215488	85.611491
195	195	3.9206386	85.492327
200	200	3.9196915	85.373163
205	205	3.9187079	85.253998
210	210	3.9176888	85.134834
215	215	3.9166349	85.015669
220	220	3.9155472	84.896505
225	225	3.914427	84.77734
230	230	3.9132753	84.658176
235	235	3.9120936	84.539012
240	240	3.9108831	84.419847
245	245	3.9096451	84.300683
250	250	3.9083812	84.181518
255	255	3.9070926	84.062354
260	260	3.9057809	83.943189
265	265	3.9044473	83.824025
270	270	3.9030935	83.704861
275	275	3.9017207	83.585696
280	280	3.9003303	83.466532
285	285	3.8989236	83.347367
290	290	3.8975021	83.228203
295	295	3.896067	83.109038
300	300	3.8946195	82.989874
305	305	3.8931609	82.870709
310	310	3.8916924	82.751545
315	315	3.8902151	82.632381
320	320	3.8887301	82.513216
325	325	3.8872385	82.394052
330	330	3.8857413	82.274887
335	335	3.8842395	82.155723
340	340	3.882734	82.036558
345	345	3.8812257	81.917394
350	350	3.8797156	81.79823
355	355	3.8782043	81.679065
360	360	3.8766927	81.559901
365	365	3.8751815	81.440736
370	370	3.8736713	81.321572
375	375	3.872163	81.202407
380	380	3.870657	81.083243
385	385	3.869154	80.964079
390	390	3.8676545	80.844914
395	395	3.8661591	80.72575
400	400	3.8646681	80.606585
405	405	3.8631821	80.487421
410	410	3.8617015	80.368256
415	415	3.8602267	80.249092
420	420	3.858758	80.129928
425	425	3.8572958	80.010763
430	430	3.8558404	79.891599
435	435	3.8543921	79.772434
440	440	3.8529511	79.65327
445	445	3.8515177	79.534105
450	450	3.850092	79.414941
455	455	3.8486744	79.295777
460	460	3.8472648	79.176612
465	465	3.8458636	79.057448
470	470	3.8444709	78.938283
475	475	3.8430867	78.819119
480	480	3.8417112	78.699954
485	485	3.8403444	78.58079
490	490	3.8389865	78.461626
495	495	3.8376375	78.342461
500	500	3.8362974	78.223297
505	505	3.8349662	78.104132
510	510	3.8336441	77.984968
515	515	3.8323309	77.865803
520	520	3.8310267	77.746639
525	525	3.8297315	77.627474
530	530	3.8284453	77.50831
535	535	3.827168	77.389146
540	540	3.8258995	77.269981
545	545	3.8246399	77.150817
550	550	3.8233891	77.031652
555	555	3.8221469	76.912488
560	560	3.8209134	76.793323
565	565	3.8196885	76.674159
570	570	3.8184721	76.554995
575	575	3.817264	76.43583
580	580	3.8160643	76.316666
585	585	3.8148727	76.197501
590	590	3.8136893	76.078337
595	595	3.8125138	75.959172
600	600	3.8113462	75.840008
605	605	3.8101864	75.720844
610	610	3.8090342	75.601679
615	615	3.8078895	75.482515
620	620	3.8067521	75.36335
625	625	3.8056221	75.244186
630	630	3.8044991	75.125021
635	635	3.8033832	75.005857
640	640	3.8022741	74.886693
645	645	3.8011717	74.767528
650	650	3.8000758	74.648364
655	655	3.7989863	74.529199
660	660	3.7979032	74.410035
665	665	3.7968261	74.29087
670	670	3.7957549	74.171706
675	675	3.7946896	74.052542
680	680	3.7936299	73.933377
685	685	3.7925757	73.814213
690	690	3.7915268	73.695048
695	695	3.790483	73.575884
700	700	3.7894443	73.456719
705	705	3.7884103	73.337555
710	710	3.787381	73.218391
715	715	3.7863562	73.099226
720	720	3.7853356	72.980062
725	725	3.7843192	72.860897
730	730	3.7833067	72.741733
735	735	3.782298	72.622568
740	740	3.7812928	72.503404
745	745	3.780291	72.384239
750	750	3.7792923	72.265075
755	755	3.7782967	72.145911
760	760	3.7773038	72.026746
765	765	3.7763136	71.907582
770	770	3.7753257	71.788417
775	775	3.7743399	71.669253
780	780	3.7733561	71.550088
785	785	3.7723741	71.430924
790	790	3.7713935	71.31176
795	795	3.7704142	71.192595
800	800	3.7694359	71.073431
805	805	3.7684585	70.954266
810	810	3.7674815	70.835102
815	815	3.7665049	70.715937
820	820	3.7655283	70.596773
825	825	3.7645514	70.477609
830	830	3.763574	70.358444
835	835	3.7625958	70.23928
840	840	3.7616165	70.120115
845	845	3.7606358	70.000951
850	850	3.7596533	69.881786
855	855	3.7586688	69.762622
860	860	3.7576819	69.643458
865	865	3.7566922	69.524293
870	870	3.7556994	69.405129
875	875	3.7547031	69.285964
880	880	3.753703	69.1668
885	885	3.7526985	69.047635
890	890	3.7516893	68.928471
895	895	3.7506749	68.809307
900	900	3.749655	68.690142
905	905	3.7486289	68.570978
910	910	3.7475963	68.451813
915	915	3.7465565	68.332649
920	920	3.7455092	68.213484
925	925	3.7444536	68.09432
930	930	3.7433893	67.975156
