step	time[s]	voltage[V]	SoC[%]
5	5	4.07033 	81.07
10	10	4.06563 	80.96
15	15	4.062155	80.86
20	20	4.059188	80.75
25	25	4.056523	80.65
30	30	4.054068	80.54
35	35	4.05177 	80.44
40	40	4.049574	80.33
45	45	4.047654	80.23
50	50	4.045696	80.13
55	55	4.043819	80.02
60	60	4.042093	79.92
65	65	4.040259	79.81
70	70	4.03845 	79.71
75	75	4.036776	79.6
80	80	4.035223	79.5
85	85	4.033688	79.39
90	90	4.032074	79.29
95	95	4.030433	79.18
100	100	4.028833	79.08
105	105	4.027202	78.98
110	110	4.025708	78.87
115	115	4.024431	78.77
120	120	4.02299 	78.66
125	125	4.021448	78.56
130	130	4.020066	78.45
135	135	4.018645	78.35
140	140	4.017143	78.24
145	145	4.015752	78.14
150	150	4.014425	78.03
155	155	4.013081	77.93
160	160	4.011763	77.82
165	165	4.010434	77.72
170	170	4.009009	77.62
175	175	4.007594	77.51
180	180	4.006285	77.41
185	185	4.005002	77.3
190	190	4.003702	77.2
195	195	4.002408	77.09
200	200	4.001122	76.99
205	205	3.999839	76.88
210	210	3.998559	76.78
215	215	3.997283	76.67
220	220	3.996011	76.57
225	225	3.994741	76.46
230	230	3.993472	76.36
235	235	3.992208	76.26
240	240	3.99095 	76.15
245	245	3.98968 	76.05
250	250	3.988408	75.94
255	255	3.987209	75.84
260	260	3.986072	75.73
265	265	3.984889	75.63
270	270	3.983607	75.52
275	275	3.982231	75.42
280	280	3.980903	75.31
285	285	3.979738	75.21
290	290	3.978639	75.1
295	295	3.977506	75
300	300	3.976303	74.9
305	305	3.975048	74.79
310	310	3.973798	74.69
315	315	3.972554	74.58
320	320	3.971294	74.48
325	325	3.970067	74.37
330	330	3.968917	74.27
335	335	3.967795	74.16
340	340	3.966658	74.06
345	345	3.96551 	73.95
350	350	3.964369	73.85
355	355	3.963254	73.74
360	360	3.962111	73.64
365	365	3.960859	73.54
370	370	3.959625	73.43
375	375	3.958567	73.33
380	380	3.957544	73.22
385	385	3.956411	73.12
390	390	3.955244	73.01
395	395	3.954103	72.91
400	400	3.952965	72.8
405	405	3.95182 	72.7
410	410	3.950676	72.59
415	415	3.949532	72.49
420	420	3.948381	72.38
425	425	3.94724 	72.28
430	430	3.946114	72.18
435	435	3.944936	72.07
440	440	3.943676	71.97
445	445	3.942447	71.86
450	450	3.941302	71.76
455	455	3.94017 	71.65
460	460	3.939018	71.55
465	465	3.937859	71.44
470	470	3.93671 	71.34
475	475	3.935579	71.23
480	480	3.934408	71.13
485	485	3.933149	71.03
490	490	3.931899	70.92
495	495	3.930736	70.82
500	500	3.929595	70.71
505	505	3.928432	70.61
510	510	3.927281	70.5
515	515	3.926125	70.4
520	520	3.924892	70.29
525	525	3.923612	70.19
530	530	3.922383	70.08
535	535	3.921257	69.98
540	540	3.920225	69.87
545	545	3.919108	69.77
550	550	3.917812	69.67
555	555	3.916593	69.56
560	560	3.915552	69.46
565	565	3.914412	69.35
570	570	3.913107	69.25
575	575	3.911845	69.14
580	580	3.91069 	69.04
585	585	3.909595	68.93
590	590	3.908529	68.83
595	595	3.907466	68.72
600	600	3.906367	68.62
605	605	3.905202	68.51
610	610	3.903975	68.41
615	615	3.902753	68.31
620	620	3.901697	68.2
625	625	3.900749	68.1
630	630	3.899587	67.99
635	635	3.898246	67.89
640	640	3.897032	67.78
645	645	3.895994	67.68
650	650	3.895032	67.57
655	655	3.893996	67.47
660	660	3.892794	67.36
665	665	3.891586	67.26
670	670	3.890482	67.15
675	675	3.889382	67.05
680	680	3.888259	66.95
685	685	3.88721 	66.84
690	690	3.886213	66.74
695	695	3.885147	66.63
700	700	3.884008	66.53
705	705	3.882858	66.42
710	710	3.881762	66.32
715	715	3.880749	66.21
720	720	3.879705	66.11
725	725	3.878566	66
730	730	3.877451	65.9
735	735	3.876421	65.79
740	740	3.875419	65.69
745	745	3.87438 	65.59
750	750	3.873253	65.48
755	755	3.872097	65.38
760	760	3.871018	65.27
765	765	3.869987	65.17
770	770	3.868938	65.06
775	775	3.867876	64.96
780	780	3.866815	64.85
785	785	3.865759	64.75
790	790	3.864698	64.64
795	795	3.863613	64.54
800	800	3.862537	64.44
805	805	3.861549	64.33
810	810	3.860584	64.23
815	815	3.859512	64.12
820	820	3.858428	64.02
825	825	3.857464	63.91
830	830	3.856437	63.81
835	835	3.855219	63.7
840	840	3.85406 	63.6
845	845	3.853077	63.49
850	850	3.852044	63.39
855	855	3.85091 	63.28
860	860	3.849855	63.18
865	865	3.848854	63.08
870	870	3.84775 	62.97
875	875	3.846614	62.87
880	880	3.845582	62.76
