step	time[s]	voltage[V]	SoC[%]
5	5	4.011834	90.02
10	10	3.995153	89.9
15	15	3.983153	89.78
20	20	3.974054	89.66
25	25	3.966892	89.54
30	30	3.961111	89.42
35	35	3.956368	89.31
40	40	3.952432	89.19
45	45	3.949144	89.07
50	50	3.946381	88.95
55	55	3.944051	88.83
60	60	3.942078	88.71
65	65	3.940403	88.59
70	70	3.938975	88.47
75	75	3.937751	88.35
80	80	3.936695	88.23
85	85	3.935778	88.11
90	90	3.934972	87.99
95	95	3.934255	87.88
100	100	3.933607	87.76
105	105	3.933011	87.64
110	110	3.932453	87.52
115	115	3.931919	87.4
120	120	3.9314  	87.28
125	125	3.930885	87.16
130	130	3.930366	87.04
135	135	3.929836	86.92
140	140	3.92929 	86.8
145	145	3.928723	86.68
150	150	3.92813 	86.56
155	155	3.927509	86.45
160	160	3.926856	86.33
165	165	3.926169	86.21
170	170	3.925447	86.09
175	175	3.924688	85.97
180	180	3.923893	85.85
185	185	3.92306 	85.73
190	190	3.922189	85.61
195	195	3.92128 	85.49
200	200	3.920335	85.37
205	205	3.919353	85.25
210	210	3.918335	85.13
215	215	3.917282	85.02
220	220	3.916196	84.9
225	225	3.915076	84.78
230	230	3.913926	84.66
235	235	3.912745	84.54
240	240	3.911535	84.42
245	245	3.910297	84.3
250	250	3.909034	84.18
255	255	3.907746	84.06
260	260	3.906435	83.94
265	265	3.905102	83.82
270	270	3.903748	83.7
275	275	3.902376	83.59
280	280	3.900986	83.47
285	285	3.89958 	83.35
290	290	3.898158	83.23
295	295	3.896723	83.11
300	300	3.895276	82.99
305	305	3.893818	82.87
310	310	3.89235 	82.75
315	315	3.890872	82.63
320	320	3.889388	82.51
325	325	3.887896	82.39
330	330	3.886399	82.27
335	335	3.884897	82.16
340	340	3.883392	82.04
345	345	3.881884	81.92
350	350	3.880374	81.8
355	355	3.878863	81.68
360	360	3.877351	81.56
365	365	3.87584 	81.44
370	370	3.87433 	81.32
375	375	3.872822	81.2
380	380	3.871316	81.08
385	385	3.869813	80.96
390	390	3.868314	80.84
395	395	3.866818	80.73
400	400	3.865327	80.61
405	405	3.863842	80.49
410	410	3.862361	80.37
415	415	3.860886	80.25
420	420	3.859418	80.13
425	425	3.857956	80.01
430	430	3.8565  	79.89
435	435	3.855052	79.77
440	440	3.853611	79.65
445	445	3.852178	79.53
450	450	3.850752	79.41
455	455	3.849334	79.3
460	460	3.847925	79.18
465	465	3.846524	79.06
470	470	3.845131	78.94
475	475	3.843747	78.82
480	480	3.842371	78.7
485	485	3.841005	78.58
490	490	3.839647	78.46
495	495	3.838298	78.34
500	500	3.836958	78.22
505	505	3.835627	78.1
510	510	3.834305	77.98
515	515	3.832992	77.87
520	520	3.831687	77.75
525	525	3.830392	77.63
530	530	3.829106	77.51
535	535	3.827829	77.39
540	540	3.82656 	77.27
545	545	3.825301	77.15
550	550	3.82405 	77.03
555	555	3.822808	76.91
560	560	3.821574	76.79
565	565	3.82035 	76.67
570	570	3.819133	76.55
575	575	3.817925	76.44
580	580	3.816725	76.32
585	585	3.815534	76.2
590	590	3.814351	76.08
595	595	3.813175	75.96
600	600	3.812008	75.84
605	605	3.810848	75.72
610	610	3.809696	75.6
615	615	3.808551	75.48
620	620	3.807414	75.36
625	625	3.806284	75.24
630	630	3.805161	75.13
635	635	3.804045	75.01
640	640	3.802936	74.89
645	645	3.801833	74.77
650	650	3.800737	74.65
655	655	3.799648	74.53
660	660	3.798565	74.41
665	665	3.797488	74.29
670	670	3.796417	74.17
675	675	3.795351	74.05
680	680	3.794292	73.93
685	685	3.793238	73.81
690	690	3.792189	73.7
695	695	3.791145	73.58
700	700	3.790106	73.46
705	705	3.789072	73.34
710	710	3.788043	73.22
715	715	3.787018	73.1
720	720	3.785998	72.98
725	725	3.784981	72.86
730	730	3.783969	72.74
735	735	3.78296 	72.62
740	740	3.781955	72.5
745	745	3.780953	72.38
750	750	3.779955	72.27
755	755	3.778959	72.15
760	760	3.777966	72.03
765	765	3.776976	71.91
770	770	3.775988	71.79
775	775	3.775002	71.67
780	780	3.774019	71.55
785	785	3.773037	71.43
790	790	3.772056	71.31
795	795	3.771077	71.19
800	800	3.770098	71.07
805	805	3.769121	70.95
810	810	3.768144	70.84
815	815	3.767168	70.72
820	820	3.766191	70.6
825	825	3.765214	70.48
830	830	3.764237	70.36
835	835	3.763259	70.24
840	840	3.762279	70.12
845	845	3.761299	70
850	850	3.760316	69.88
855	855	3.759332	69.76
860	860	3.758345	69.64
865	865	3.757355	69.52
870	870	3.756362	69.41
875	875	3.755366	69.29
880	880	3.754366	69.17
885	885	3.753361	69.05
890	890	3.752352	68.93
895	895	3.751338	68.81
900	900	3.750318	68.69
905	905	3.749292	68.57
910	910	3.748259	68.45
915	915	3.74722 	68.33
920	920	3.746172	68.21
925	925	3.745117	68.09
930	930	3.744052	67.98
935	935	3.742979	67.86
940	940	3.741895	67.74
945	945	3.740801	67.62
950	950	3.739696	67.5
955	955	3.738578	67.38
960	960	3.737448	67.26
965	965	3.736305	67.14
970	970	3.735148	67.02
975	975	3.733975	66.9
980	980	3.732788	66.78
985	985	3.731584	66.66
990	990	3.730362	66.55
995	995	3.729123	66.43
1000	1000	3.727865	66.31
1005	1005	3.726588	66.19
1010	1010	3.72529 	66.07
1015	1015	3.723972	65.95
1020	1020	3.722631	65.83
1025	1025	3.721268	65.71
1030	1030	3.719882	65.59
1035	1035	3.718472	65.47
1040	1040	3.717038	65.35
1045	1045	3.715578	65.23
1050	1050	3.714094	65.12
1055	1055	3.712583	65
1060	1060	3.711047	64.88
1065	1065	3.709484	64.76
1070	1070	3.707895	64.64
1075	1075	3.70628 	64.52
1080	1080	3.704639	64.4
1085	1085	3.702973	64.28
1090	1090	3.701281	64.16
1095	1095	3.699564	64.04
1100	1100	3.697824	63.92
1105	1105	3.696061	63.8
1110	1110	3.694275	63.69
1115	1115	3.69247 	63.57
1120	1120	3.690645	63.45
1125	1125	3.688802	63.33
1130	1130	3.686943	63.21
1135	1135	3.685069	63.09
1140	1140	3.683183	62.97
1145	1145	3.681286	62.85
1150	1150	3.679379	62.73
1155	1155	3.677467	62.61
1160	1160	3.675549	62.49
1165	1165	3.673628	62.37
1170	1170	3.671706	62.26
1175	1175	3.669785	62.14
1180	1180	3.667867	62.02
1185	1185	3.665954	61.9
1190	1190	3.664046	61.78
1195	1195	3.662147	61.66
1200	1200	3.660257	61.54
1205	1205	3.658377	61.42
1210	1210	3.656509	61.3
1215	1215	3.654654	61.18
1220	1220	3.652813	61.06
1225	1225	3.650987	60.94
1230	1230	3.649175	60.83
1235	1235	3.64738 	60.71
1240	1240	3.645601	60.59
1245	1245	3.643838	60.47
1250	1250	3.642092	60.35
1255	1255	3.640363	60.23
1260	1260	3.638651	60.11
1265	1265	3.636956	59.99
1270	1270	3.635277	59.87
1275	1275	3.633614	59.75
1280	1280	3.631968	59.63
1285	1285	3.630338	59.51
1290	1290	3.628723	59.4
1295	1295	3.627124	59.28
1300	1300	3.625539	59.16
1305	1305	3.623969	59.04
1310	1310	3.622413	58.92
1315	1315	3.62087 	58.8
1320	1320	3.619341	58.68
1325	1325	3.617825	58.56
1330	1330	3.616321	58.44
1335	1335	3.61483 	58.32
1340	1340	3.61335 	58.2
1345	1345	3.611882	58.08
1350	1350	3.610425	57.97
1355	1355	3.608979	57.85
1360	1360	3.607544	57.73
1365	1365	3.606119	57.61
1370	1370	3.604704	57.49
1375	1375	3.603299	57.37
1380	1380	3.601904	57.25
1385	1385	3.600518	57.13
1390	1390	3.599141	57.01
1395	1395	3.597774	56.89
1400	1400	3.596416	56.77
1405	1405	3.595067	56.65
1410	1410	3.593727	56.54
1415	1415	3.592395	56.42
1420	1420	3.591072	56.3
1425	1425	3.589758	56.18
1430	1430	3.588452	56.06
1435	1435	3.587155	55.94
1440	1440	3.585866	55.82
1445	1445	3.584586	55.7
1450	1450	3.583314	55.58
1455	1455	3.58205 	55.46
1460	1460	3.580794	55.34
1465	1465	3.579547	55.22
1470	1470	3.578308	55.11
1475	1475	3.577078	54.99
1480	1480	3.575855	54.87
1485	1485	3.574641	54.75
1490	1490	3.573435	54.63
1495	1495	3.572238	54.51
